name	type	group	oX	oY	oZ	xX	xY	xZ	yX	yY	yZ	zX	zY	zZ
Maxilla (Soft Tissue)	Maxilla Soft	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 17	Tooth 17	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 16	Tooth 16	0	-0.715	-0.691	1.916	0.996	-0.024	0.085	0.025	1.000	-0.002	-0.085	0.004	0.996
Tooth 15	Tooth 15	0	-0.026	-0.006	-0.306	1.000	-0.005	0.002	0.005	1.000	0.013	-0.002	-0.013	1.000
Tooth 14	Tooth 14	0	-0.174	-0.674	-0.103	0.999	-0.031	0.006	0.031	0.999	-0.019	-0.006	0.019	1.000
Tooth 13	Tooth 13	0	-0.225	-0.176	-0.393	1.000	-0.005	-0.010	0.005	1.000	-0.012	0.010	0.012	1.000
Tooth 12	Tooth 12	0	0.192	0.100	-0.088	1.000	-0.013	0.015	0.013	1.000	0.008	-0.015	-0.008	1.000
Tooth 11	Tooth 11	0	0.308	-0.402	0.037	1.000	-0.006	0.021	0.006	1.000	-0.017	-0.021	0.017	1.000
Tooth 21	Tooth 21	0	-0.350	-0.390	-0.392	1.000	0.011	-0.003	-0.011	1.000	-0.017	0.003	0.017	1.000
Tooth 22	Tooth 22	0	0.607	0.577	-0.589	0.999	0.001	0.038	-0.002	1.000	0.018	-0.038	-0.018	0.999
Tooth 23	Tooth 23	0	-0.455	0.140	0.308	1.000	-0.016	-0.023	0.016	1.000	-0.009	0.023	0.009	1.000
Tooth 24	Tooth 24	0	0.038	0.006	-0.011	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 25	Tooth 25	0	0.051	0.007	0.017	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 26	Tooth 26	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 27	Tooth 27	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Mandible (Soft Tissue)	Mandible Soft	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 37	Tooth 37	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 36	Tooth 36	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 35	Tooth 35	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 34	Tooth 34	1	-0.032	0.002	-0.046	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 33	Tooth 33	1	2.006	0.744	-0.974	0.994	-0.031	0.103	0.029	0.999	0.024	-0.103	-0.021	0.994
Tooth 32	Tooth 32	1	-2.435	-0.098	0.709	0.991	0.084	-0.100	-0.082	0.996	0.029	0.102	-0.020	0.995
Tooth 31	Tooth 31	1	-1.546	-0.352	-0.120	0.997	0.049	-0.057	-0.050	0.999	-0.006	0.057	0.009	0.998
Tooth 41	Tooth 41	1	2.165	-0.076	0.381	0.993	-0.047	0.106	0.046	0.999	0.012	-0.106	-0.008	0.994
Tooth 42	Tooth 42	1	3.472	-0.105	1.656	0.982	-0.077	0.174	0.071	0.997	0.039	-0.177	-0.026	0.984
Tooth 43	Tooth 43	1	0.481	-0.075	0.170	1.000	-0.009	0.028	0.009	1.000	0.000	-0.028	0.000	1.000
Tooth 44	Tooth 44	1	-0.034	0.008	-0.070	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 45	Tooth 45	1	-0.011	0.002	-0.025	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 46	Tooth 46	1	0.071	0.093	-0.025	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 47	Tooth 47	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
16: Box 2 x 3 mm	BrktAttm	0	-26.187	4.266	-4.131	-0.616	-0.492	-0.616	0.379	-0.870	0.315	-0.691	-0.039	0.722
15: Box 2 x 3 mm	BrktAttm	0	-23.758	2.523	3.151	-0.614	0.092	-0.784	0.007	-0.993	-0.122	-0.790	-0.080	0.608
14: Box 2 x 3 mm	BrktAttm	0	-20.741	2.001	9.454	-0.838	-0.008	-0.545	0.123	-0.977	-0.175	-0.531	-0.214	0.820
13: Box 2 x 4 mm	BrktAttm	0	-17.635	1.902	15.451	-0.603	0.364	-0.709	-0.077	-0.912	-0.403	-0.794	-0.188	0.579
12: Box 2 x 3 mm	BrktAttm	0	-11.609	1.899	21.423	-0.967	-0.082	-0.239	0.077	-0.997	0.031	-0.241	0.011	0.970
22: Box 2 x 3 mm	BrktAttm	0	11.513	1.934	21.645	-0.642	0.394	0.658	-0.341	-0.915	0.214	0.686	-0.087	0.722
23: Box 2 x 4 mm	BrktAttm	0	17.098	2.865	17.561	-0.785	0.359	0.506	-0.277	-0.933	0.231	0.554	0.041	0.831
