name	type	group	oX	oY	oZ	xX	xY	xZ	yX	yY	yZ	zX	zY	zZ
Maxilla (Soft Tissue)	Maxilla Soft	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 17	Tooth 17	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 16	Tooth 16	0	-3.082	-2.210	6.119	0.955	-0.080	0.284	0.083	0.997	0.002	-0.284	0.022	0.959
Tooth 15	Tooth 15	0	-0.090	-0.014	-1.040	1.000	-0.019	0.005	0.018	0.999	0.044	-0.006	-0.044	0.999
Tooth 14	Tooth 14	0	-0.690	-2.211	-0.300	0.994	-0.106	0.024	0.107	0.992	-0.064	-0.017	0.066	0.998
Tooth 13	Tooth 13	0	-0.814	-0.606	-1.379	0.999	-0.019	-0.033	0.017	0.999	-0.040	0.034	0.040	0.999
Tooth 12	Tooth 12	0	0.612	0.335	-0.313	0.998	-0.044	0.049	0.043	0.999	0.027	-0.051	-0.025	0.998
Tooth 11	Tooth 11	0	1.118	-1.399	0.020	0.997	-0.019	0.071	0.023	0.998	-0.057	-0.070	0.058	0.996
Tooth 21	Tooth 21	0	-0.941	-1.192	-0.987	0.999	0.038	-0.011	-0.039	0.998	-0.059	0.009	0.059	0.998
Tooth 22	Tooth 22	0	2.134	1.995	-1.870	0.992	0.001	0.127	-0.008	0.998	0.060	-0.127	-0.061	0.990
Tooth 23	Tooth 23	0	-1.486	0.520	1.078	0.995	-0.056	-0.078	0.054	0.998	-0.033	0.079	0.029	0.996
Tooth 24	Tooth 24	0	0.129	0.021	-0.038	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 25	Tooth 25	0	0.172	0.025	0.056	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 26	Tooth 26	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 27	Tooth 27	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Mandible (Soft Tissue)	Mandible Soft	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 37	Tooth 37	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 36	Tooth 36	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 35	Tooth 35	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 34	Tooth 34	1	-0.141	0.013	-0.129	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 33	Tooth 33	1	3.844	1.971	-1.652	0.977	-0.094	0.189	0.084	0.995	0.061	-0.194	-0.043	0.980
Tooth 32	Tooth 32	1	-4.695	-0.781	0.978	0.963	0.201	-0.178	-0.195	0.979	0.053	0.185	-0.017	0.983
Tooth 31	Tooth 31	1	-3.194	-1.404	-0.592	0.986	0.123	-0.113	-0.127	0.992	-0.028	0.109	0.042	0.993
Tooth 41	Tooth 41	1	4.233	-0.286	0.813	0.972	-0.109	0.209	0.103	0.994	0.038	-0.212	-0.015	0.977
Tooth 42	Tooth 42	1	5.904	-0.526	3.099	0.942	-0.153	0.300	0.134	0.988	0.083	-0.309	-0.037	0.950
Tooth 43	Tooth 43	1	1.232	-0.167	0.348	0.998	-0.020	0.064	0.020	1.000	0.000	-0.064	0.001	0.998
Tooth 44	Tooth 44	1	-0.047	0.009	-0.093	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 45	Tooth 45	1	-0.037	0.008	-0.083	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 46	Tooth 46	1	0.241	0.316	-0.085	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 47	Tooth 47	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
16: Box 2 x 3 mm	BrktAttm	0	-26.476	4.121	-4.952	-0.507	-0.463	-0.727	0.256	-0.886	0.386	-0.823	0.010	0.568
15: Box 2 x 3 mm	BrktAttm	0	-23.802	2.717	2.404	-0.609	0.124	-0.783	-0.005	-0.988	-0.152	-0.793	-0.089	0.603
14: Box 2 x 3 mm	BrktAttm	0	-21.116	2.432	8.795	-0.830	0.029	-0.558	0.051	-0.990	-0.128	-0.556	-0.135	0.820
13: Box 2 x 4 mm	BrktAttm	0	-17.812	2.142	14.807	-0.616	0.352	-0.705	-0.098	-0.922	-0.375	-0.782	-0.162	0.602
12: Box 2 x 3 mm	BrktAttm	0	-11.885	2.113	20.803	-0.960	-0.048	-0.275	0.046	-0.999	0.014	-0.275	0.001	0.961
22: Box 2 x 3 mm	BrktAttm	0	11.003	2.416	21.289	-0.700	0.364	0.614	-0.354	-0.924	0.144	0.620	-0.117	0.776
23: Box 2 x 4 mm	BrktAttm	0	17.094	2.905	17.274	-0.741	0.400	0.540	-0.300	-0.916	0.267	0.601	0.036	0.798
