name	type	group	oX	oY	oZ	xX	xY	xZ	yX	yY	yZ	zX	zY	zZ
Maxilla (Soft Tissue)	Maxilla Soft	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 17	Tooth 17	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 16	Tooth 16	0	-0.265	-0.280	0.775	0.999	-0.010	0.034	0.010	1.000	-0.001	-0.034	0.001	0.999
Tooth 15	Tooth 15	0	-0.010	-0.002	-0.122	1.000	-0.002	0.001	0.002	1.000	0.005	-0.001	-0.005	1.000
Tooth 14	Tooth 14	0	-0.067	-0.271	-0.043	1.000	-0.013	0.002	0.013	1.000	-0.008	-0.002	0.008	1.000
Tooth 13	Tooth 13	0	-0.090	-0.071	-0.158	1.000	-0.002	-0.004	0.002	1.000	-0.005	0.004	0.005	1.000
Tooth 12	Tooth 12	0	0.077	0.040	-0.035	1.000	-0.005	0.006	0.005	1.000	0.003	-0.006	-0.003	1.000
Tooth 11	Tooth 11	0	0.124	-0.161	0.013	1.000	-0.002	0.008	0.002	1.000	-0.007	-0.008	0.007	1.000
Tooth 21	Tooth 21	0	-0.141	-0.156	-0.158	1.000	0.005	-0.001	-0.005	1.000	-0.007	0.001	0.007	1.000
Tooth 22	Tooth 22	0	0.240	0.229	-0.239	1.000	0.000	0.015	-0.001	1.000	0.007	-0.015	-0.007	1.000
Tooth 23	Tooth 23	0	-0.184	0.055	0.122	1.000	-0.007	-0.009	0.007	1.000	-0.004	0.009	0.004	1.000
Tooth 24	Tooth 24	0	0.015	0.002	-0.005	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 25	Tooth 25	0	0.020	0.003	0.007	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 26	Tooth 26	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 27	Tooth 27	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Mandible (Soft Tissue)	Mandible Soft	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 37	Tooth 37	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 36	Tooth 36	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 35	Tooth 35	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 34	Tooth 34	1	-0.013	0.001	-0.018	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 33	Tooth 33	1	0.795	0.303	-0.422	0.999	-0.012	0.041	0.012	1.000	0.009	-0.041	-0.009	0.999
Tooth 32	Tooth 32	1	-0.987	-0.011	0.253	0.999	0.033	-0.040	-0.033	0.999	0.010	0.041	-0.009	0.999
Tooth 31	Tooth 31	1	-0.620	-0.132	-0.058	1.000	0.020	-0.023	-0.020	1.000	-0.003	0.023	0.003	1.000
Tooth 41	Tooth 41	1	0.872	-0.014	0.115	0.999	-0.019	0.042	0.018	1.000	0.004	-0.042	-0.004	0.999
Tooth 42	Tooth 42	1	1.423	-0.003	0.585	0.997	-0.030	0.070	0.029	0.999	0.014	-0.071	-0.012	0.997
Tooth 43	Tooth 43	1	0.190	-0.029	0.064	1.000	-0.003	0.011	0.003	1.000	0.000	-0.011	0.000	1.000
Tooth 44	Tooth 44	1	-0.010	0.002	-0.021	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 45	Tooth 45	1	-0.004	0.001	-0.010	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 46	Tooth 46	1	0.029	0.037	-0.010	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 47	Tooth 47	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
16: Box 2 x 3 mm	BrktAttm	0	-26.083	4.309	-3.952	-0.639	-0.500	-0.584	0.407	-0.865	0.294	-0.652	-0.050	0.756
15: Box 2 x 3 mm	BrktAttm	0	-23.747	2.476	3.338	-0.615	0.084	-0.784	0.010	-0.993	-0.114	-0.789	-0.078	0.610
14: Box 2 x 3 mm	BrktAttm	0	-20.644	1.904	9.617	-0.840	-0.018	-0.542	0.141	-0.972	-0.187	-0.524	-0.233	0.819
13: Box 2 x 4 mm	BrktAttm	0	-17.602	1.840	15.595	-0.600	0.367	-0.710	-0.072	-0.909	-0.409	-0.797	-0.195	0.572
12: Box 2 x 3 mm	BrktAttm	0	-11.547	1.850	21.571	-0.969	-0.091	-0.230	0.085	-0.996	0.035	-0.233	0.014	0.972
22: Box 2 x 3 mm	BrktAttm	0	11.645	1.815	21.728	-0.627	0.401	0.668	-0.337	-0.912	0.232	0.702	-0.080	0.707
23: Box 2 x 4 mm	BrktAttm	0	17.100	2.855	17.633	-0.795	0.348	0.497	-0.271	-0.937	0.222	0.542	0.042	0.839
