name	type	group	oX	oY	oZ	xX	xY	xZ	yX	yY	yZ	zX	zY	zZ
Maxilla (Soft Tissue)	Maxilla Soft	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 17	Tooth 17	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 16	Tooth 16	0	-0.879	-0.826	2.290	0.994	-0.029	0.102	0.030	1.000	-0.002	-0.102	0.005	0.995
Tooth 15	Tooth 15	0	-0.032	-0.007	-0.367	1.000	-0.007	0.002	0.007	1.000	0.016	-0.002	-0.016	1.000
Tooth 14	Tooth 14	0	-0.212	-0.806	-0.122	0.999	-0.038	0.008	0.038	0.999	-0.023	-0.007	0.023	1.000
Tooth 13	Tooth 13	0	-0.270	-0.211	-0.471	1.000	-0.006	-0.012	0.006	1.000	-0.014	0.012	0.014	1.000
Tooth 12	Tooth 12	0	0.231	0.119	-0.105	1.000	-0.016	0.018	0.015	1.000	0.009	-0.018	-0.009	1.000
Tooth 11	Tooth 11	0	0.368	-0.481	0.046	1.000	-0.007	0.025	0.008	1.000	-0.020	-0.025	0.021	0.999
Tooth 21	Tooth 21	0	-0.419	-0.467	-0.470	1.000	0.014	-0.004	-0.014	1.000	-0.021	0.003	0.021	1.000
Tooth 22	Tooth 22	0	0.731	0.693	-0.703	0.999	0.001	0.045	-0.002	1.000	0.021	-0.045	-0.021	0.999
Tooth 23	Tooth 23	0	-0.544	0.169	0.371	0.999	-0.020	-0.028	0.019	1.000	-0.011	0.028	0.011	1.000
Tooth 24	Tooth 24	0	0.046	0.007	-0.014	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 25	Tooth 25	0	0.061	0.009	0.020	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 26	Tooth 26	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 27	Tooth 27	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Mandible (Soft Tissue)	Mandible Soft	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 37	Tooth 37	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 36	Tooth 36	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 35	Tooth 35	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 34	Tooth 34	1	-0.038	0.003	-0.055	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 33	Tooth 33	1	2.418	0.888	-1.142	0.992	-0.038	0.123	0.035	0.999	0.029	-0.124	-0.024	0.992
Tooth 32	Tooth 32	1	-2.908	-0.145	0.881	0.988	0.101	-0.120	-0.097	0.995	0.035	0.123	-0.023	0.992
Tooth 31	Tooth 31	1	-1.854	-0.431	-0.133	0.996	0.059	-0.069	-0.060	0.998	-0.007	0.068	0.011	0.998
Tooth 41	Tooth 41	1	2.592	-0.106	0.489	0.990	-0.056	0.127	0.055	0.998	0.016	-0.127	-0.008	0.992
Tooth 42	Tooth 42	1	4.113	-0.164	2.053	0.974	-0.092	0.208	0.084	0.995	0.048	-0.211	-0.030	0.977
Tooth 43	Tooth 43	1	0.577	-0.091	0.207	0.999	-0.010	0.033	0.010	1.000	0.000	-0.033	0.000	0.999
Tooth 44	Tooth 44	1	-0.042	0.010	-0.086	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 45	Tooth 45	1	-0.013	0.003	-0.030	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 46	Tooth 46	1	0.086	0.112	-0.030	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 47	Tooth 47	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
16: Box 2 x 3 mm	BrktAttm	0	-26.219	4.252	-4.193	-0.608	-0.489	-0.626	0.369	-0.872	0.322	-0.703	-0.035	0.710
15: Box 2 x 3 mm	BrktAttm	0	-23.762	2.539	3.088	-0.613	0.095	-0.784	0.006	-0.992	-0.124	-0.790	-0.081	0.608
14: Box 2 x 3 mm	BrktAttm	0	-20.773	2.035	9.400	-0.838	-0.005	-0.546	0.117	-0.978	-0.171	-0.533	-0.207	0.820
13: Box 2 x 4 mm	BrktAttm	0	-17.646	1.923	15.402	-0.604	0.363	-0.709	-0.079	-0.913	-0.400	-0.793	-0.186	0.581
12: Box 2 x 3 mm	BrktAttm	0	-11.629	1.916	21.374	-0.967	-0.079	-0.242	0.074	-0.997	0.029	-0.244	0.010	0.970
22: Box 2 x 3 mm	BrktAttm	0	11.469	1.974	21.617	-0.647	0.391	0.654	-0.343	-0.916	0.208	0.681	-0.089	0.727
23: Box 2 x 4 mm	BrktAttm	0	17.097	2.869	17.537	-0.781	0.362	0.509	-0.279	-0.931	0.234	0.558	0.041	0.829
