name	type	group	oX	oY	oZ	xX	xY	xZ	yX	yY	yZ	zX	zY	zZ
Maxilla (Soft Tissue)	Maxilla Soft	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 17	Tooth 17	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 16	Tooth 16	0	-1.226	-1.091	3.026	0.990	-0.039	0.136	0.039	0.999	-0.002	-0.136	0.008	0.991
Tooth 15	Tooth 15	0	-0.042	-0.008	-0.490	1.000	-0.009	0.003	0.009	1.000	0.021	-0.003	-0.021	1.000
Tooth 14	Tooth 14	0	-0.291	-1.070	-0.159	0.999	-0.050	0.010	0.050	0.998	-0.031	-0.009	0.031	0.999
Tooth 13	Tooth 13	0	-0.360	-0.281	-0.627	1.000	-0.009	-0.016	0.008	1.000	-0.019	0.016	0.019	1.000
Tooth 12	Tooth 12	0	0.307	0.159	-0.140	1.000	-0.021	0.024	0.020	1.000	0.013	-0.024	-0.012	1.000
Tooth 11	Tooth 11	0	0.489	-0.641	0.066	0.999	-0.009	0.033	0.010	1.000	-0.027	-0.033	0.027	0.999
Tooth 21	Tooth 21	0	-0.557	-0.621	-0.624	1.000	0.018	-0.005	-0.018	0.999	-0.028	0.005	0.028	1.000
Tooth 22	Tooth 22	0	0.981	0.928	-0.928	0.998	0.001	0.060	-0.003	1.000	0.029	-0.060	-0.029	0.998
Tooth 23	Tooth 23	0	-0.722	0.229	0.497	0.999	-0.026	-0.037	0.026	1.000	-0.015	0.037	0.014	0.999
Tooth 24	Tooth 24	0	0.061	0.010	-0.018	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 25	Tooth 25	0	0.081	0.012	0.026	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 26	Tooth 26	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 27	Tooth 27	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Mandible (Soft Tissue)	Mandible Soft	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 37	Tooth 37	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 36	Tooth 36	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 35	Tooth 35	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 34	Tooth 34	1	-0.051	0.004	-0.074	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 33	Tooth 33	1	3.251	1.170	-1.451	0.985	-0.051	0.163	0.045	0.998	0.039	-0.165	-0.031	0.986
Tooth 32	Tooth 32	1	-3.837	-0.268	1.254	0.978	0.135	-0.159	-0.129	0.990	0.050	0.164	-0.028	0.986
Tooth 31	Tooth 31	1	-2.465	-0.598	-0.150	0.993	0.079	-0.092	-0.080	0.997	-0.008	0.091	0.015	0.996
Tooth 41	Tooth 41	1	3.437	-0.178	0.734	0.983	-0.075	0.168	0.073	0.997	0.022	-0.170	-0.010	0.985
Tooth 42	Tooth 42	1	5.346	-0.318	2.912	0.954	-0.123	0.273	0.109	0.992	0.068	-0.279	-0.035	0.960
Tooth 43	Tooth 43	1	0.768	-0.122	0.281	0.999	-0.014	0.044	0.014	1.000	0.000	-0.044	0.001	0.999
Tooth 44	Tooth 44	1	-0.057	0.013	-0.119	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 45	Tooth 45	1	-0.018	0.004	-0.039	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 46	Tooth 46	1	0.114	0.149	-0.040	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 47	Tooth 47	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
16: Box 2 x 3 mm	BrktAttm	0	-26.280	4.225	-4.322	-0.591	-0.484	-0.646	0.350	-0.875	0.336	-0.727	-0.027	0.686
15: Box 2 x 3 mm	BrktAttm	0	-23.769	2.571	2.963	-0.613	0.100	-0.784	0.004	-0.992	-0.129	-0.790	-0.082	0.607
14: Box 2 x 3 mm	BrktAttm	0	-20.836	2.103	9.291	-0.836	0.001	-0.548	0.105	-0.981	-0.163	-0.538	-0.194	0.820
13: Box 2 x 4 mm	BrktAttm	0	-17.668	1.965	15.306	-0.607	0.361	-0.708	-0.082	-0.915	-0.396	-0.791	-0.182	0.585
12: Box 2 x 3 mm	BrktAttm	0	-11.670	1.950	21.274	-0.966	-0.074	-0.248	0.069	-0.997	0.027	-0.250	0.009	0.968
22: Box 2 x 3 mm	BrktAttm	0	11.382	2.054	21.560	-0.657	0.386	0.647	-0.345	-0.918	0.197	0.670	-0.094	0.736
23: Box 2 x 4 mm	BrktAttm	0	17.096	2.875	17.489	-0.774	0.369	0.515	-0.283	-0.929	0.240	0.566	0.040	0.823
