name	type	group	oX	oY	oZ	xX	xY	xZ	yX	yY	yZ	zX	zY	zZ
Maxilla (Soft Tissue)	Maxilla Soft	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 17	Tooth 17	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 16	Tooth 16	0	-1.049	-0.959	2.660	0.992	-0.034	0.119	0.035	0.999	-0.002	-0.119	0.006	0.993
Tooth 15	Tooth 15	0	-0.037	-0.008	-0.428	1.000	-0.008	0.002	0.008	1.000	0.018	-0.002	-0.018	1.000
Tooth 14	Tooth 14	0	-0.251	-0.938	-0.141	0.999	-0.044	0.009	0.044	0.999	-0.027	-0.008	0.027	1.000
Tooth 13	Tooth 13	0	-0.315	-0.246	-0.549	1.000	-0.008	-0.014	0.007	1.000	-0.017	0.014	0.017	1.000
Tooth 12	Tooth 12	0	0.269	0.139	-0.122	1.000	-0.018	0.021	0.018	1.000	0.011	-0.021	-0.011	1.000
Tooth 11	Tooth 11	0	0.429	-0.561	0.056	1.000	-0.008	0.029	0.009	1.000	-0.024	-0.029	0.024	0.999
Tooth 21	Tooth 21	0	-0.488	-0.544	-0.547	1.000	0.016	-0.004	-0.016	1.000	-0.024	0.004	0.025	1.000
Tooth 22	Tooth 22	0	0.855	0.811	-0.816	0.999	0.001	0.053	-0.003	1.000	0.025	-0.053	-0.025	0.998
Tooth 23	Tooth 23	0	-0.633	0.199	0.434	0.999	-0.023	-0.032	0.023	1.000	-0.013	0.033	0.012	0.999
Tooth 24	Tooth 24	0	0.053	0.009	-0.016	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 25	Tooth 25	0	0.071	0.010	0.023	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 26	Tooth 26	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 27	Tooth 27	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Mandible (Soft Tissue)	Mandible Soft	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 37	Tooth 37	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 36	Tooth 36	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 35	Tooth 35	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 34	Tooth 34	1	-0.045	0.003	-0.064	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 33	Tooth 33	1	2.833	1.030	-1.301	0.989	-0.045	0.143	0.040	0.999	0.034	-0.144	-0.028	0.989
Tooth 32	Tooth 32	1	-3.376	-0.202	1.063	0.983	0.118	-0.140	-0.113	0.993	0.042	0.144	-0.026	0.989
Tooth 31	Tooth 31	1	-2.160	-0.513	-0.143	0.994	0.069	-0.080	-0.070	0.998	-0.007	0.080	0.013	0.997
Tooth 41	Tooth 41	1	3.016	-0.140	0.607	0.987	-0.066	0.148	0.064	0.998	0.019	-0.149	-0.009	0.989
Tooth 42	Tooth 42	1	4.737	-0.235	2.472	0.965	-0.108	0.240	0.096	0.994	0.058	-0.245	-0.033	0.969
Tooth 43	Tooth 43	1	0.673	-0.106	0.244	0.999	-0.012	0.039	0.012	1.000	0.000	-0.039	0.001	0.999
Tooth 44	Tooth 44	1	-0.049	0.011	-0.102	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 45	Tooth 45	1	-0.015	0.003	-0.034	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 46	Tooth 46	1	0.100	0.130	-0.035	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 47	Tooth 47	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
16: Box 2 x 3 mm	BrktAttm	0	-26.250	4.238	-4.257	-0.599	-0.486	-0.636	0.360	-0.873	0.329	-0.715	-0.031	0.698
15: Box 2 x 3 mm	BrktAttm	0	-23.766	2.555	3.025	-0.613	0.097	-0.784	0.005	-0.992	-0.127	-0.790	-0.082	0.607
14: Box 2 x 3 mm	BrktAttm	0	-20.805	2.069	9.345	-0.837	-0.002	-0.547	0.111	-0.980	-0.167	-0.536	-0.201	0.820
13: Box 2 x 4 mm	BrktAttm	0	-17.657	1.944	15.354	-0.606	0.362	-0.709	-0.081	-0.914	-0.398	-0.792	-0.184	0.583
12: Box 2 x 3 mm	BrktAttm	0	-11.650	1.933	21.324	-0.966	-0.076	-0.245	0.072	-0.997	0.028	-0.247	0.010	0.969
22: Box 2 x 3 mm	BrktAttm	0	11.425	2.014	21.588	-0.652	0.389	0.651	-0.344	-0.917	0.203	0.676	-0.092	0.732
23: Box 2 x 4 mm	BrktAttm	0	17.097	2.872	17.513	-0.778	0.365	0.512	-0.281	-0.930	0.237	0.562	0.040	0.826
