name	type	group	oX	oY	oZ	xX	xY	xZ	yX	yY	yZ	zX	zY	zZ
Maxilla (Soft Tissue)	Maxilla Soft	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 17	Tooth 17	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 16	Tooth 16	0	-0.559	-0.555	1.539	0.997	-0.020	0.068	0.020	1.000	-0.002	-0.068	0.003	0.998
Tooth 15	Tooth 15	0	-0.021	-0.005	-0.245	1.000	-0.004	0.001	0.004	1.000	0.010	-0.001	-0.010	1.000
Tooth 14	Tooth 14	0	-0.137	-0.540	-0.083	1.000	-0.025	0.005	0.025	1.000	-0.015	-0.005	0.016	1.000
Tooth 13	Tooth 13	0	-0.180	-0.141	-0.315	1.000	-0.004	-0.008	0.004	1.000	-0.009	0.008	0.009	1.000
Tooth 12	Tooth 12	0	0.154	0.080	-0.070	1.000	-0.010	0.012	0.010	1.000	0.006	-0.012	-0.006	1.000
Tooth 11	Tooth 11	0	0.247	-0.321	0.029	1.000	-0.005	0.017	0.005	1.000	-0.014	-0.017	0.014	1.000
Tooth 21	Tooth 21	0	-0.280	-0.312	-0.314	1.000	0.009	-0.002	-0.009	1.000	-0.014	0.002	0.014	1.000
Tooth 22	Tooth 22	0	0.484	0.461	-0.474	1.000	0.001	0.030	-0.001	1.000	0.014	-0.030	-0.014	0.999
Tooth 23	Tooth 23	0	-0.365	0.111	0.246	1.000	-0.013	-0.019	0.013	1.000	-0.007	0.019	0.007	1.000
Tooth 24	Tooth 24	0	0.030	0.005	-0.009	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 25	Tooth 25	0	0.041	0.006	0.013	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 26	Tooth 26	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 27	Tooth 27	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Mandible (Soft Tissue)	Mandible Soft	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 37	Tooth 37	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 36	Tooth 36	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 35	Tooth 35	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 34	Tooth 34	1	-0.026	0.002	-0.037	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 33	Tooth 33	1	1.598	0.599	-0.798	0.996	-0.025	0.082	0.024	1.000	0.019	-0.083	-0.017	0.996
Tooth 32	Tooth 32	1	-1.957	-0.060	0.547	0.994	0.067	-0.081	-0.065	0.998	0.022	0.082	-0.017	0.996
Tooth 31	Tooth 31	1	-1.238	-0.276	-0.103	0.998	0.040	-0.046	-0.040	0.999	-0.005	0.046	0.007	0.999
Tooth 41	Tooth 41	1	1.736	-0.051	0.283	0.996	-0.037	0.085	0.037	0.999	0.010	-0.085	-0.006	0.996
Tooth 42	Tooth 42	1	2.802	-0.058	1.274	0.988	-0.061	0.140	0.057	0.998	0.030	-0.141	-0.022	0.990
Tooth 43	Tooth 43	1	0.384	-0.059	0.134	1.000	-0.007	0.022	0.007	1.000	0.000	-0.022	0.000	1.000
Tooth 44	Tooth 44	1	-0.026	0.006	-0.054	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 45	Tooth 45	1	-0.009	0.002	-0.020	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 46	Tooth 46	1	0.057	0.075	-0.020	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 47	Tooth 47	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
16: Box 2 x 3 mm	BrktAttm	0	-26.154	4.280	-4.070	-0.624	-0.494	-0.605	0.389	-0.868	0.308	-0.678	-0.043	0.734
15: Box 2 x 3 mm	BrktAttm	0	-23.754	2.507	3.213	-0.614	0.089	-0.784	0.008	-0.993	-0.119	-0.789	-0.079	0.609
14: Box 2 x 3 mm	BrktAttm	0	-20.709	1.968	9.509	-0.839	-0.011	-0.544	0.129	-0.975	-0.179	-0.529	-0.220	0.820
13: Box 2 x 4 mm	BrktAttm	0	-17.624	1.882	15.499	-0.602	0.365	-0.710	-0.075	-0.911	-0.405	-0.795	-0.190	0.576
12: Box 2 x 3 mm	BrktAttm	0	-11.588	1.883	21.473	-0.968	-0.085	-0.236	0.080	-0.996	0.032	-0.238	0.012	0.971
22: Box 2 x 3 mm	BrktAttm	0	11.557	1.894	21.673	-0.637	0.396	0.661	-0.340	-0.914	0.220	0.692	-0.085	0.717
23: Box 2 x 4 mm	BrktAttm	0	17.099	2.862	17.585	-0.788	0.355	0.503	-0.275	-0.934	0.228	0.550	0.041	0.834
