name	type	group	oX	oY	oZ	xX	xY	xZ	yX	yY	yZ	zX	zY	zZ
Maxilla (Soft Tissue)	Maxilla Soft	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 17	Tooth 17	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 16	Tooth 16	0	-2.616	-1.965	5.444	0.965	-0.071	0.251	0.073	0.997	0.000	-0.250	0.018	0.968
Tooth 15	Tooth 15	0	-0.079	-0.013	-0.914	1.000	-0.016	0.005	0.016	0.999	0.039	-0.005	-0.039	0.999
Tooth 14	Tooth 14	0	-0.592	-1.956	-0.271	0.995	-0.093	0.021	0.094	0.994	-0.057	-0.015	0.058	0.998
Tooth 13	Tooth 13	0	-0.709	-0.532	-1.207	0.999	-0.016	-0.030	0.015	0.999	-0.035	0.030	0.035	0.999
Tooth 12	Tooth 12	0	0.543	0.295	-0.274	0.998	-0.039	0.044	0.038	0.999	0.024	-0.044	-0.022	0.999
Tooth 11	Tooth 11	0	0.975	-1.226	0.030	0.998	-0.017	0.062	0.020	0.999	-0.050	-0.061	0.051	0.997
Tooth 21	Tooth 21	0	-0.859	-1.065	-0.912	0.999	0.034	-0.010	-0.034	0.998	-0.052	0.008	0.052	0.999
Tooth 22	Tooth 22	0	1.866	1.749	-1.664	0.994	0.001	0.112	-0.007	0.999	0.053	-0.111	-0.053	0.992
Tooth 23	Tooth 23	0	-1.315	0.450	0.943	0.996	-0.050	-0.068	0.048	0.998	-0.029	0.070	0.026	0.997
Tooth 24	Tooth 24	0	0.113	0.018	-0.034	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 25	Tooth 25	0	0.152	0.022	0.049	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 26	Tooth 26	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 27	Tooth 27	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Mandible (Soft Tissue)	Mandible Soft	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 37	Tooth 37	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 36	Tooth 36	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 35	Tooth 35	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 34	Tooth 34	1	-0.120	0.011	-0.117	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 33	Tooth 33	1	3.771	1.799	-1.629	0.979	-0.085	0.187	0.076	0.996	0.056	-0.191	-0.041	0.981
Tooth 32	Tooth 32	1	-4.567	-0.664	1.081	0.966	0.188	-0.177	-0.181	0.982	0.054	0.183	-0.020	0.983
Tooth 31	Tooth 31	1	-3.070	-1.217	-0.484	0.987	0.114	-0.110	-0.117	0.993	-0.023	0.107	0.035	0.994
Tooth 41	Tooth 41	1	4.111	-0.265	0.816	0.974	-0.102	0.203	0.097	0.995	0.035	-0.206	-0.014	0.979
Tooth 42	Tooth 42	1	5.886	-0.493	3.146	0.942	-0.149	0.300	0.130	0.988	0.081	-0.308	-0.037	0.951
Tooth 43	Tooth 43	1	1.134	-0.159	0.338	0.998	-0.019	0.060	0.019	1.000	0.000	-0.060	0.001	0.998
Tooth 44	Tooth 44	1	-0.051	0.010	-0.102	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 45	Tooth 45	1	-0.033	0.007	-0.073	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 46	Tooth 46	1	0.212	0.278	-0.075	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 47	Tooth 47	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
16: Box 2 x 3 mm	BrktAttm	0	-26.442	4.143	-4.800	-0.527	-0.468	-0.709	0.278	-0.884	0.376	-0.803	0.001	0.596
15: Box 2 x 3 mm	BrktAttm	0	-23.794	2.684	2.531	-0.610	0.119	-0.784	-0.003	-0.989	-0.147	-0.792	-0.087	0.604
14: Box 2 x 3 mm	BrktAttm	0	-21.053	2.354	8.909	-0.831	0.023	-0.555	0.064	-0.989	-0.136	-0.552	-0.149	0.820
13: Box 2 x 4 mm	BrktAttm	0	-17.779	2.102	14.923	-0.614	0.354	-0.706	-0.094	-0.920	-0.379	-0.784	-0.166	0.598
12: Box 2 x 3 mm	BrktAttm	0	-11.836	2.075	20.912	-0.962	-0.054	-0.269	0.051	-0.999	0.017	-0.269	0.003	0.963
22: Box 2 x 3 mm	BrktAttm	0	11.088	2.333	21.353	-0.691	0.369	0.622	-0.353	-0.923	0.156	0.631	-0.112	0.767
23: Box 2 x 4 mm	BrktAttm	0	17.094	2.898	17.323	-0.749	0.393	0.534	-0.296	-0.919	0.261	0.593	0.037	0.804
