name	type	group	oX	oY	oZ	xX	xY	xZ	yX	yY	yZ	zX	zY	zZ
Maxilla (Soft Tissue)	Maxilla Soft	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 17	Tooth 17	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 16	Tooth 16	0	-1.750	-1.451	4.024	0.982	-0.052	0.183	0.053	0.999	-0.002	-0.182	0.011	0.983
Tooth 15	Tooth 15	0	-0.057	-0.011	-0.661	1.000	-0.012	0.003	0.012	1.000	0.028	-0.004	-0.028	1.000
Tooth 14	Tooth 14	0	-0.407	-1.431	-0.207	0.998	-0.067	0.014	0.068	0.997	-0.041	-0.012	0.042	0.999
Tooth 13	Tooth 13	0	-0.498	-0.382	-0.858	1.000	-0.012	-0.021	0.011	1.000	-0.026	0.022	0.025	0.999
Tooth 12	Tooth 12	0	0.404	0.214	-0.193	0.999	-0.028	0.032	0.028	0.999	0.017	-0.032	-0.016	0.999
Tooth 11	Tooth 11	0	0.681	-0.875	0.057	0.999	-0.012	0.045	0.014	0.999	-0.036	-0.045	0.037	0.998
Tooth 21	Tooth 21	0	-0.692	-0.807	-0.758	1.000	0.024	-0.007	-0.025	0.999	-0.038	0.006	0.038	0.999
Tooth 22	Tooth 22	0	1.333	1.257	-1.232	0.997	0.001	0.081	-0.005	0.999	0.038	-0.081	-0.039	0.996
Tooth 23	Tooth 23	0	-0.964	0.316	0.675	0.998	-0.036	-0.050	0.035	0.999	-0.021	0.050	0.019	0.999
Tooth 24	Tooth 24	0	0.082	0.013	-0.024	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 25	Tooth 25	0	0.110	0.016	0.036	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 26	Tooth 26	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 27	Tooth 27	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Mandible (Soft Tissue)	Mandible Soft	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 37	Tooth 37	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 36	Tooth 36	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 35	Tooth 35	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 34	Tooth 34	1	-0.077	0.006	-0.093	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 33	Tooth 33	1	3.626	1.449	-1.581	0.981	-0.066	0.181	0.058	0.997	0.048	-0.183	-0.036	0.982
Tooth 32	Tooth 32	1	-4.302	-0.433	1.292	0.971	0.161	-0.174	-0.154	0.987	0.055	0.181	-0.026	0.983
Tooth 31	Tooth 31	1	-2.815	-0.845	-0.264	0.990	0.095	-0.104	-0.097	0.995	-0.013	0.102	0.023	0.995
Tooth 41	Tooth 41	1	3.864	-0.226	0.825	0.978	-0.089	0.190	0.085	0.996	0.028	-0.192	-0.011	0.981
Tooth 42	Tooth 42	1	5.848	-0.426	3.239	0.944	-0.140	0.299	0.122	0.989	0.078	-0.307	-0.037	0.951
Tooth 43	Tooth 43	1	0.936	-0.142	0.318	0.999	-0.016	0.052	0.016	1.000	0.000	-0.052	0.001	0.999
Tooth 44	Tooth 44	1	-0.059	0.013	-0.121	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 45	Tooth 45	1	-0.024	0.005	-0.053	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 46	Tooth 46	1	0.154	0.201	-0.054	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 47	Tooth 47	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
16: Box 2 x 3 mm	BrktAttm	0	-26.354	4.190	-4.508	-0.566	-0.477	-0.672	0.321	-0.879	0.353	-0.759	-0.016	0.651
15: Box 2 x 3 mm	BrktAttm	0	-23.779	2.616	2.789	-0.611	0.107	-0.784	0.001	-0.991	-0.137	-0.791	-0.084	0.606
14: Box 2 x 3 mm	BrktAttm	0	-20.924	2.201	9.138	-0.835	0.010	-0.551	0.088	-0.984	-0.152	-0.544	-0.176	0.821
13: Box 2 x 4 mm	BrktAttm	0	-17.711	2.021	15.155	-0.609	0.358	-0.707	-0.087	-0.917	-0.389	-0.788	-0.175	0.590
12: Box 2 x 3 mm	BrktAttm	0	-11.735	1.999	21.130	-0.964	-0.066	-0.257	0.062	-0.998	0.023	-0.257	0.006	0.966
22: Box 2 x 3 mm	BrktAttm	0	11.262	2.166	21.478	-0.671	0.379	0.637	-0.349	-0.920	0.180	0.655	-0.101	0.749
23: Box 2 x 4 mm	BrktAttm	0	17.095	2.884	17.422	-0.764	0.379	0.523	-0.288	-0.925	0.248	0.577	0.039	0.816
