name	type	group	oX	oY	oZ	xX	xY	xZ	yX	yY	yZ	zX	zY	zZ
Maxilla (Soft Tissue)	Maxilla Soft	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 17	Tooth 17	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 16	Tooth 16	0	-0.409	-0.418	1.159	0.999	-0.015	0.051	0.015	1.000	-0.001	-0.051	0.002	0.999
Tooth 15	Tooth 15	0	-0.016	-0.004	-0.183	1.000	-0.003	0.001	0.003	1.000	0.008	-0.001	-0.008	1.000
Tooth 14	Tooth 14	0	-0.101	-0.406	-0.063	1.000	-0.019	0.004	0.019	1.000	-0.012	-0.003	0.012	1.000
Tooth 13	Tooth 13	0	-0.135	-0.106	-0.236	1.000	-0.003	-0.006	0.003	1.000	-0.007	0.006	0.007	1.000
Tooth 12	Tooth 12	0	0.115	0.060	-0.053	1.000	-0.008	0.009	0.008	1.000	0.005	-0.009	-0.005	1.000
Tooth 11	Tooth 11	0	0.186	-0.241	0.021	1.000	-0.004	0.012	0.004	1.000	-0.010	-0.012	0.010	1.000
Tooth 21	Tooth 21	0	-0.211	-0.234	-0.236	1.000	0.007	-0.002	-0.007	1.000	-0.010	0.002	0.010	1.000
Tooth 22	Tooth 22	0	0.362	0.345	-0.357	1.000	0.001	0.023	-0.001	1.000	0.011	-0.023	-0.011	1.000
Tooth 23	Tooth 23	0	-0.275	0.082	0.184	1.000	-0.010	-0.014	0.010	1.000	-0.006	0.014	0.005	1.000
Tooth 24	Tooth 24	0	0.023	0.004	-0.007	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 25	Tooth 25	0	0.031	0.004	0.010	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 26	Tooth 26	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 27	Tooth 27	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Mandible (Soft Tissue)	Mandible Soft	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 37	Tooth 37	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 36	Tooth 36	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 35	Tooth 35	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 34	Tooth 34	1	-0.019	0.001	-0.028	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 33	Tooth 33	1	1.194	0.452	-0.614	0.998	-0.019	0.062	0.018	1.000	0.014	-0.062	-0.013	0.998
Tooth 32	Tooth 32	1	-1.474	-0.031	0.395	0.997	0.050	-0.061	-0.049	0.999	0.016	0.061	-0.013	0.998
Tooth 31	Tooth 31	1	-0.930	-0.202	-0.082	0.999	0.030	-0.034	-0.030	1.000	-0.004	0.034	0.005	0.999
Tooth 41	Tooth 41	1	1.305	-0.030	0.194	0.998	-0.028	0.064	0.028	1.000	0.007	-0.064	-0.005	0.998
Tooth 42	Tooth 42	1	2.119	-0.024	0.917	0.993	-0.045	0.105	0.043	0.999	0.022	-0.106	-0.017	0.994
Tooth 43	Tooth 43	1	0.287	-0.044	0.099	1.000	-0.005	0.017	0.005	1.000	0.000	-0.017	0.000	1.000
Tooth 44	Tooth 44	1	-0.018	0.004	-0.037	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 45	Tooth 45	1	-0.007	0.001	-0.015	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 46	Tooth 46	1	0.043	0.056	-0.015	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 47	Tooth 47	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
16: Box 2 x 3 mm	BrktAttm	0	-26.119	4.294	-4.010	-0.632	-0.497	-0.595	0.398	-0.867	0.301	-0.665	-0.047	0.745
15: Box 2 x 3 mm	BrktAttm	0	-23.751	2.491	3.276	-0.614	0.086	-0.784	0.009	-0.993	-0.117	-0.789	-0.079	0.609
14: Box 2 x 3 mm	BrktAttm	0	-20.677	1.936	9.563	-0.840	-0.014	-0.543	0.135	-0.974	-0.183	-0.526	-0.227	0.820
13: Box 2 x 4 mm	BrktAttm	0	-17.613	1.861	15.547	-0.601	0.366	-0.710	-0.074	-0.910	-0.407	-0.796	-0.193	0.574
12: Box 2 x 3 mm	BrktAttm	0	-11.567	1.866	21.522	-0.968	-0.088	-0.233	0.082	-0.996	0.033	-0.235	0.013	0.972
22: Box 2 x 3 mm	BrktAttm	0	11.601	1.855	21.701	-0.632	0.399	0.665	-0.339	-0.913	0.226	0.697	-0.082	0.712
23: Box 2 x 4 mm	BrktAttm	0	17.099	2.859	17.609	-0.792	0.352	0.500	-0.273	-0.935	0.225	0.546	0.041	0.836
