name	type	group	oX	oY	oZ	xX	xY	xZ	yX	yY	yZ	zX	zY	zZ
Maxilla (Soft Tissue)	Maxilla Soft	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 17	Tooth 17	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 16	Tooth 16	0	-3.459	-2.395	6.628	0.947	-0.087	0.310	0.091	0.996	0.003	-0.309	0.025	0.951
Tooth 15	Tooth 15	0	-0.099	-0.015	-1.137	1.000	-0.020	0.006	0.020	0.999	0.048	-0.007	-0.048	0.999
Tooth 14	Tooth 14	0	-0.768	-2.406	-0.321	0.993	-0.115	0.026	0.117	0.991	-0.070	-0.018	0.073	0.997
Tooth 13	Tooth 13	0	-0.895	-0.663	-1.511	0.999	-0.020	-0.037	0.019	0.999	-0.044	0.037	0.043	0.998
Tooth 12	Tooth 12	0	0.665	0.365	-0.344	0.997	-0.048	0.054	0.047	0.998	0.030	-0.055	-0.027	0.998
Tooth 11	Tooth 11	0	1.226	-1.641	0.032	0.997	-0.021	0.078	0.026	0.997	-0.067	-0.076	0.069	0.995
Tooth 21	Tooth 21	0	-1.001	-1.396	-1.028	0.999	0.042	-0.013	-0.043	0.997	-0.069	0.010	0.069	0.998
Tooth 22	Tooth 22	0	2.343	2.186	-2.025	0.990	0.000	0.139	-0.010	0.998	0.066	-0.138	-0.066	0.988
Tooth 23	Tooth 23	0	-1.616	0.575	1.184	0.994	-0.062	-0.085	0.059	0.998	-0.036	0.087	0.031	0.996
Tooth 24	Tooth 24	0	0.141	0.023	-0.042	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 25	Tooth 25	0	0.188	0.027	0.061	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 26	Tooth 26	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 27	Tooth 27	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Mandible (Soft Tissue)	Mandible Soft	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 37	Tooth 37	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 36	Tooth 36	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 35	Tooth 35	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 34	Tooth 34	1	-0.157	0.014	-0.139	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 33	Tooth 33	1	3.901	2.102	-1.668	0.976	-0.102	0.192	0.091	0.994	0.064	-0.197	-0.045	0.979
Tooth 32	Tooth 32	1	-4.792	-0.874	0.898	0.961	0.211	-0.179	-0.205	0.977	0.053	0.186	-0.014	0.982
Tooth 31	Tooth 31	1	-3.290	-1.550	-0.674	0.985	0.130	-0.116	-0.135	0.990	-0.031	0.111	0.046	0.993
Tooth 41	Tooth 41	1	4.327	-0.303	0.812	0.970	-0.114	0.214	0.108	0.993	0.041	-0.218	-0.016	0.976
Tooth 42	Tooth 42	1	5.918	-0.552	3.063	0.941	-0.156	0.300	0.137	0.987	0.084	-0.309	-0.038	0.950
Tooth 43	Tooth 43	1	1.307	-0.173	0.356	0.998	-0.021	0.067	0.021	1.000	0.000	-0.067	0.001	0.998
Tooth 44	Tooth 44	1	-0.044	0.008	-0.086	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 45	Tooth 45	1	-0.040	0.009	-0.091	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 46	Tooth 46	1	0.264	0.345	-0.093	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 47	Tooth 47	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
16: Box 2 x 3 mm	BrktAttm	0	-26.498	4.105	-5.072	-0.491	-0.460	-0.740	0.239	-0.888	0.394	-0.838	0.017	0.546
15: Box 2 x 3 mm	BrktAttm	0	-23.807	2.743	2.305	-0.608	0.128	-0.783	-0.007	-0.988	-0.156	-0.794	-0.090	0.602
14: Box 2 x 3 mm	BrktAttm	0	-21.164	2.494	8.706	-0.828	0.034	-0.559	0.042	-0.992	-0.122	-0.559	-0.124	0.820
13: Box 2 x 4 mm	BrktAttm	0	-17.838	2.174	14.718	-0.617	0.350	-0.704	-0.101	-0.923	-0.371	-0.780	-0.158	0.605
12: Box 2 x 3 mm	BrktAttm	0	-11.923	2.143	20.718	-0.959	-0.043	-0.279	0.041	-0.999	0.012	-0.279	0.000	0.960
22: Box 2 x 3 mm	BrktAttm	0	10.937	2.480	21.238	-0.708	0.361	0.608	-0.356	-0.925	0.134	0.610	-0.121	0.783
23: Box 2 x 4 mm	BrktAttm	0	17.094	2.911	17.237	-0.735	0.405	0.544	-0.302	-0.914	0.272	0.607	0.035	0.794
