name	type	group	oX	oY	oZ	xX	xY	xZ	yX	yY	yZ	zX	zY	zZ
Maxilla (Soft Tissue)	Maxilla Soft	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 17	Tooth 17	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 16	Tooth 16	0	-2.170	-1.711	4.743	0.974	-0.062	0.217	0.063	0.998	-0.001	-0.216	0.015	0.976
Tooth 15	Tooth 15	0	-0.068	-0.012	-0.787	1.000	-0.014	0.004	0.014	0.999	0.033	-0.005	-0.033	0.999
Tooth 14	Tooth 14	0	-0.497	-1.695	-0.240	0.997	-0.080	0.017	0.081	0.996	-0.049	-0.013	0.050	0.999
Tooth 13	Tooth 13	0	-0.603	-0.457	-1.033	1.000	-0.014	-0.025	0.013	0.999	-0.031	0.026	0.030	0.999
Tooth 12	Tooth 12	0	0.474	0.255	-0.233	0.999	-0.033	0.038	0.033	0.999	0.021	-0.038	-0.019	0.999
Tooth 11	Tooth 11	0	0.828	-1.051	0.042	0.998	-0.015	0.054	0.017	0.999	-0.043	-0.053	0.044	0.998
Tooth 21	Tooth 21	0	-0.776	-0.937	-0.836	1.000	0.029	-0.008	-0.029	0.999	-0.045	0.007	0.045	0.999
Tooth 22	Tooth 22	0	1.598	1.502	-1.450	0.995	0.001	0.096	-0.006	0.999	0.046	-0.096	-0.046	0.994
Tooth 23	Tooth 23	0	-1.141	0.382	0.809	0.997	-0.043	-0.059	0.041	0.999	-0.025	0.060	0.022	0.998
Tooth 24	Tooth 24	0	0.098	0.016	-0.029	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 25	Tooth 25	0	0.131	0.019	0.042	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 26	Tooth 26	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 27	Tooth 27	0	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Mandible (Soft Tissue)	Mandible Soft	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 37	Tooth 37	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 36	Tooth 36	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 35	Tooth 35	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 34	Tooth 34	1	-0.098	0.008	-0.105	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 33	Tooth 33	1	3.698	1.625	-1.606	0.980	-0.075	0.184	0.067	0.996	0.052	-0.187	-0.039	0.982
Tooth 32	Tooth 32	1	-4.435	-0.547	1.186	0.969	0.174	-0.175	-0.167	0.984	0.054	0.182	-0.023	0.983
Tooth 31	Tooth 31	1	-2.943	-1.030	-0.375	0.989	0.104	-0.107	-0.107	0.994	-0.018	0.104	0.029	0.994
Tooth 41	Tooth 41	1	3.987	-0.245	0.820	0.976	-0.096	0.197	0.091	0.995	0.031	-0.199	-0.013	0.980
Tooth 42	Tooth 42	1	5.867	-0.459	3.192	0.943	-0.144	0.299	0.126	0.989	0.079	-0.308	-0.037	0.951
Tooth 43	Tooth 43	1	1.035	-0.150	0.328	0.998	-0.017	0.056	0.017	1.000	0.000	-0.056	0.001	0.998
Tooth 44	Tooth 44	1	-0.055	0.012	-0.112	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 45	Tooth 45	1	-0.028	0.006	-0.063	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 46	Tooth 46	1	0.183	0.239	-0.065	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
Tooth 47	Tooth 47	1	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000
16: Box 2 x 3 mm	BrktAttm	0	-26.401	4.166	-4.652	-0.547	-0.472	-0.691	0.300	-0.881	0.365	-0.781	-0.008	0.624
15: Box 2 x 3 mm	BrktAttm	0	-23.787	2.650	2.660	-0.611	0.113	-0.784	-0.001	-0.990	-0.142	-0.792	-0.086	0.605
14: Box 2 x 3 mm	BrktAttm	0	-20.989	2.277	9.024	-0.833	0.017	-0.553	0.076	-0.987	-0.144	-0.548	-0.162	0.821
13: Box 2 x 4 mm	BrktAttm	0	-17.745	2.061	15.039	-0.612	0.356	-0.707	-0.091	-0.919	-0.384	-0.786	-0.171	0.594
12: Box 2 x 3 mm	BrktAttm	0	-11.786	2.037	21.021	-0.963	-0.060	-0.263	0.056	-0.998	0.020	-0.263	0.005	0.965
22: Box 2 x 3 mm	BrktAttm	0	11.175	2.249	21.416	-0.681	0.374	0.630	-0.351	-0.921	0.168	0.643	-0.106	0.758
23: Box 2 x 4 mm	BrktAttm	0	17.094	2.891	17.373	-0.756	0.386	0.528	-0.292	-0.922	0.254	0.585	0.038	0.810
